idno,polpartvt
930772,[1] Socialdemokraterne - the Danish social democrats
930780,"[7] Venstre, Danmarks Liberale Parti - Venstre"
930811,[3] Det Konservative Folkeparti - Conservative
930829,[5] Dansk Folkeparti - Danish peoples party
930845,[1] Socialdemokraterne - the Danish social democrats
930853,"[7] Venstre, Danmarks Liberale Parti - Venstre"
930879,"[7] Venstre, Danmarks Liberale Parti - Venstre"
930887,"[7] Venstre, Danmarks Liberale Parti - Venstre"
930926,[4] SF Socialistisk Folkeparti - Socialist People's Party
930942,[NA] Not applicable
930968,[3] Det Konservative Folkeparti - Conservative
930976,"[7] Venstre, Danmarks Liberale Parti - Venstre"
930984,"[7] Venstre, Danmarks Liberale Parti - Venstre"
930992,[2] Det Radikale Venstre - Danish Social-Liberal Party
931003,[2] Det Radikale Venstre - Danish Social-Liberal Party
931011,[3] Det Konservative Folkeparti - Conservative
931029,[9] Enhedslisten - Unity List - The Red-Green Alliance
931037,[1] Socialdemokraterne - the Danish social democrats
931087,"[7] Venstre, Danmarks Liberale Parti - Venstre"
931095,"[7] Venstre, Danmarks Liberale Parti - Venstre"
931118,"[7] Venstre, Danmarks Liberale Parti - Venstre"
931126,[5] Dansk Folkeparti - Danish peoples party
931134,[NA] Not applicable
931142,[4] SF Socialistisk Folkeparti - Socialist People's Party
931150,[1] Socialdemokraterne - the Danish social democrats
931192,[1] Socialdemokraterne - the Danish social democrats
931207,[NA] Not applicable
931249,[4] SF Socialistisk Folkeparti - Socialist People's Party
931281,[8] Liberal Alliance - Liberal Alliance
931299,[9] Enhedslisten - Unity List - The Red-Green Alliance
931304,[1] Socialdemokraterne - the Danish social democrats
931320,"[7] Venstre, Danmarks Liberale Parti - Venstre"
931338,[2] Det Radikale Venstre - Danish Social-Liberal Party
931354,[NA] Not applicable
931370,[1] Socialdemokraterne - the Danish social democrats
931396,[1] Socialdemokraterne - the Danish social democrats
931419,[1] Socialdemokraterne - the Danish social democrats
931435,[9] Enhedslisten - Unity List - The Red-Green Alliance
931443,[NA] Refusal
931469,[4] SF Socialistisk Folkeparti - Socialist People's Party
931493,[5] Dansk Folkeparti - Danish peoples party
931540,[1] Socialdemokraterne - the Danish social democrats
931566,"[7] Venstre, Danmarks Liberale Parti - Venstre"
931574,[1] Socialdemokraterne - the Danish social democrats
931605,[1] Socialdemokraterne - the Danish social democrats
931621,"[7] Venstre, Danmarks Liberale Parti - Venstre"
931639,[1] Socialdemokraterne - the Danish social democrats
931647,[NA] Not applicable
931663,[8] Liberal Alliance - Liberal Alliance
931689,[2] Det Radikale Venstre - Danish Social-Liberal Party
931697,"[7] Venstre, Danmarks Liberale Parti - Venstre"
931728,[10] Andet - other
931736,[4] SF Socialistisk Folkeparti - Socialist People's Party
931744,[4] SF Socialistisk Folkeparti - Socialist People's Party
931794,[5] Dansk Folkeparti - Danish peoples party
931817,[1] Socialdemokraterne - the Danish social democrats
931825,[NA] Not applicable
931833,[4] SF Socialistisk Folkeparti - Socialist People's Party
931841,[NA] No answer
931867,[NA] Not applicable
931906,[3] Det Konservative Folkeparti - Conservative
931930,[5] Dansk Folkeparti - Danish peoples party
931948,"[7] Venstre, Danmarks Liberale Parti - Venstre"
931964,"[7] Venstre, Danmarks Liberale Parti - Venstre"
932025,[1] Socialdemokraterne - the Danish social democrats
932033,[1] Socialdemokraterne - the Danish social democrats
932041,[NA] Not applicable
932059,[NA] Not applicable
932067,[9] Enhedslisten - Unity List - The Red-Green Alliance
932083,[NA] Not applicable
932091,"[7] Venstre, Danmarks Liberale Parti - Venstre"
932106,[6] Kristendemokraterne - Christian democrats
932130,[8] Liberal Alliance - Liberal Alliance
932148,[NA] Not applicable
932156,[NA] Not applicable
932180,[1] Socialdemokraterne - the Danish social democrats
932229,[3] Det Konservative Folkeparti - Conservative
932237,"[7] Venstre, Danmarks Liberale Parti - Venstre"
932245,[2] Det Radikale Venstre - Danish Social-Liberal Party
932253,[2] Det Radikale Venstre - Danish Social-Liberal Party
932261,[NA] Not applicable
932287,"[7] Venstre, Danmarks Liberale Parti - Venstre"
932318,[10] Andet - other
932368,[2] Det Radikale Venstre - Danish Social-Liberal Party
932407,[NA] Not applicable
932481,[5] Dansk Folkeparti - Danish peoples party
932499,[4] SF Socialistisk Folkeparti - Socialist People's Party
932504,"[7] Venstre, Danmarks Liberale Parti - Venstre"
932512,[4] SF Socialistisk Folkeparti - Socialist People's Party
932520,[NA] Not applicable
932538,"[7] Venstre, Danmarks Liberale Parti - Venstre"
932546,[9] Enhedslisten - Unity List - The Red-Green Alliance
932562,[1] Socialdemokraterne - the Danish social democrats
932570,[3] Det Konservative Folkeparti - Conservative
932588,[8] Liberal Alliance - Liberal Alliance
932596,[1] Socialdemokraterne - the Danish social democrats
932601,[1] Socialdemokraterne - the Danish social democrats
932643,[4] SF Socialistisk Folkeparti - Socialist People's Party
932651,[NA] Not applicable
932669,"[7] Venstre, Danmarks Liberale Parti - Venstre"
932677,[4] SF Socialistisk Folkeparti - Socialist People's Party
932685,[NA] Not applicable
932708,"[7] Venstre, Danmarks Liberale Parti - Venstre"
932716,[3] Det Konservative Folkeparti - Conservative
932724,[1] Socialdemokraterne - the Danish social democrats
932732,[2] Det Radikale Venstre - Danish Social-Liberal Party
932758,[1] Socialdemokraterne - the Danish social democrats
932766,[4] SF Socialistisk Folkeparti - Socialist People's Party
932774,[4] SF Socialistisk Folkeparti - Socialist People's Party
932855,[NA] Not applicable
932871,[1] Socialdemokraterne - the Danish social democrats
932889,"[7] Venstre, Danmarks Liberale Parti - Venstre"
932897,[8] Liberal Alliance - Liberal Alliance
932902,"[7] Venstre, Danmarks Liberale Parti - Venstre"
932910,"[7] Venstre, Danmarks Liberale Parti - Venstre"
932928,[NA] Refusal
932978,[5] Dansk Folkeparti - Danish peoples party
933005,[1] Socialdemokraterne - the Danish social democrats
933013,[9] Enhedslisten - Unity List - The Red-Green Alliance
933021,[4] SF Socialistisk Folkeparti - Socialist People's Party
933039,"[7] Venstre, Danmarks Liberale Parti - Venstre"
933071,"[7] Venstre, Danmarks Liberale Parti - Venstre"
933097,"[7] Venstre, Danmarks Liberale Parti - Venstre"
933110,[5] Dansk Folkeparti - Danish peoples party
933128,[4] SF Socialistisk Folkeparti - Socialist People's Party
933144,[NA] Not applicable
933160,[3] Det Konservative Folkeparti - Conservative
933178,[NA] Not applicable
933186,[9] Enhedslisten - Unity List - The Red-Green Alliance
933209,[2] Det Radikale Venstre - Danish Social-Liberal Party
933233,[NA] Not applicable
933259,[1] Socialdemokraterne - the Danish social democrats
933275,[5] Dansk Folkeparti - Danish peoples party
933291,[NA] Not applicable
933322,[5] Dansk Folkeparti - Danish peoples party
933348,[NA] Not applicable
933372,[2] Det Radikale Venstre - Danish Social-Liberal Party
933398,[9] Enhedslisten - Unity List - The Red-Green Alliance
933403,[2] Det Radikale Venstre - Danish Social-Liberal Party
933429,[NA] Not applicable
933445,[2] Det Radikale Venstre - Danish Social-Liberal Party
933461,[5] Dansk Folkeparti - Danish peoples party
933487,[NA] Refusal
933518,[NA] Not applicable
933542,[NA] Not applicable
933607,[NA] Not applicable
933623,"[7] Venstre, Danmarks Liberale Parti - Venstre"
933649,[1] Socialdemokraterne - the Danish social democrats
933657,"[7] Venstre, Danmarks Liberale Parti - Venstre"
933673,"[7] Venstre, Danmarks Liberale Parti - Venstre"
933704,[1] Socialdemokraterne - the Danish social democrats
933712,[1] Socialdemokraterne - the Danish social democrats
933738,"[7] Venstre, Danmarks Liberale Parti - Venstre"
933835,[5] Dansk Folkeparti - Danish peoples party
933869,[NA] Not applicable
933893,[NA] Not applicable
933908,[1] Socialdemokraterne - the Danish social democrats
933916,[9] Enhedslisten - Unity List - The Red-Green Alliance
933924,[4] SF Socialistisk Folkeparti - Socialist People's Party
933940,[3] Det Konservative Folkeparti - Conservative
933974,[NA] Not applicable
933990,[1] Socialdemokraterne - the Danish social democrats
934001,[2] Det Radikale Venstre - Danish Social-Liberal Party
934035,[NA] Not applicable
934069,[2] Det Radikale Venstre - Danish Social-Liberal Party
934077,"[7] Venstre, Danmarks Liberale Parti - Venstre"
934093,[NA] Not applicable
934108,[NA] Not applicable
934124,[NA] Refusal
934158,"[7] Venstre, Danmarks Liberale Parti - Venstre"
934190,[NA] Don't know
934247,[NA] Not applicable
934255,[NA] Refusal
934263,"[7] Venstre, Danmarks Liberale Parti - Venstre"
934289,[9] Enhedslisten - Unity List - The Red-Green Alliance
934302,[1] Socialdemokraterne - the Danish social democrats
934344,[NA] Not applicable
934352,[9] Enhedslisten - Unity List - The Red-Green Alliance
934360,[5] Dansk Folkeparti - Danish peoples party
934386,[5] Dansk Folkeparti - Danish peoples party
934433,[1] Socialdemokraterne - the Danish social democrats
934467,[1] Socialdemokraterne - the Danish social democrats
934475,[1] Socialdemokraterne - the Danish social democrats
934483,[1] Socialdemokraterne - the Danish social democrats
934491,"[7] Venstre, Danmarks Liberale Parti - Venstre"
934522,[10] Andet - other
934548,"[7] Venstre, Danmarks Liberale Parti - Venstre"
934556,[1] Socialdemokraterne - the Danish social democrats
934564,[NA] Not applicable
934611,"[7] Venstre, Danmarks Liberale Parti - Venstre"
934629,[5] Dansk Folkeparti - Danish peoples party
934637,"[7] Venstre, Danmarks Liberale Parti - Venstre"
934645,"[7] Venstre, Danmarks Liberale Parti - Venstre"
934653,[4] SF Socialistisk Folkeparti - Socialist People's Party
934661,[5] Dansk Folkeparti - Danish peoples party
934695,[3] Det Konservative Folkeparti - Conservative
934700,"[7] Venstre, Danmarks Liberale Parti - Venstre"
934726,[1] Socialdemokraterne - the Danish social democrats
934750,[1] Socialdemokraterne - the Danish social democrats
934784,[4] SF Socialistisk Folkeparti - Socialist People's Party
934807,"[7] Venstre, Danmarks Liberale Parti - Venstre"
934831,"[7] Venstre, Danmarks Liberale Parti - Venstre"
934865,"[7] Venstre, Danmarks Liberale Parti - Venstre"
934873,[1] Socialdemokraterne - the Danish social democrats
934881,[1] Socialdemokraterne - the Danish social democrats
934904,[1] Socialdemokraterne - the Danish social democrats
934912,[3] Det Konservative Folkeparti - Conservative
934938,[3] Det Konservative Folkeparti - Conservative
934954,[2] Det Radikale Venstre - Danish Social-Liberal Party
934962,[NA] Refusal
934970,"[7] Venstre, Danmarks Liberale Parti - Venstre"
934988,[NA] Don't know
934996,"[7] Venstre, Danmarks Liberale Parti - Venstre"
935007,[3] Det Konservative Folkeparti - Conservative
935057,[4] SF Socialistisk Folkeparti - Socialist People's Party
935099,"[7] Venstre, Danmarks Liberale Parti - Venstre"
935104,[NA] Not applicable
935112,[8] Liberal Alliance - Liberal Alliance
935138,[5] Dansk Folkeparti - Danish peoples party
935170,[4] SF Socialistisk Folkeparti - Socialist People's Party
935235,"[7] Venstre, Danmarks Liberale Parti - Venstre"
935251,[1] Socialdemokraterne - the Danish social democrats
935269,[NA] Not applicable
935285,[NA] Not applicable
935316,[NA] Refusal
935332,[NA] Don't know
935340,[NA] Not applicable
935382,[5] Dansk Folkeparti - Danish peoples party
935405,[1] Socialdemokraterne - the Danish social democrats
935439,"[7] Venstre, Danmarks Liberale Parti - Venstre"
935463,[5] Dansk Folkeparti - Danish peoples party
935489,[2] Det Radikale Venstre - Danish Social-Liberal Party
935502,[NA] Not applicable
935536,"[7] Venstre, Danmarks Liberale Parti - Venstre"
935560,[1] Socialdemokraterne - the Danish social democrats
935586,[NA] Not applicable
935594,[NA] Not applicable
935609,[2] Det Radikale Venstre - Danish Social-Liberal Party
935633,[1] Socialdemokraterne - the Danish social democrats
935641,[2] Det Radikale Venstre - Danish Social-Liberal Party
935659,[NA] Not applicable
935667,[5] Dansk Folkeparti - Danish peoples party
935706,"[7] Venstre, Danmarks Liberale Parti - Venstre"
935714,[NA] Not applicable
935764,[10] Andet - other
935780,[8] Liberal Alliance - Liberal Alliance
935811,[9] Enhedslisten - Unity List - The Red-Green Alliance
935829,[2] Det Radikale Venstre - Danish Social-Liberal Party
935845,"[7] Venstre, Danmarks Liberale Parti - Venstre"
935853,[6] Kristendemokraterne - Christian democrats
935879,[2] Det Radikale Venstre - Danish Social-Liberal Party
935887,[NA] Refusal
935895,[2] Det Radikale Venstre - Danish Social-Liberal Party
935934,[NA] Not applicable
935950,[8] Liberal Alliance - Liberal Alliance
935968,"[7] Venstre, Danmarks Liberale Parti - Venstre"
935976,[NA] Not applicable
935984,[1] Socialdemokraterne - the Danish social democrats
936003,[NA] Not applicable
936011,[5] Dansk Folkeparti - Danish peoples party
936037,[NA] Not applicable
936053,[NA] Refusal
936079,[2] Det Radikale Venstre - Danish Social-Liberal Party
936087,[NA] Not applicable
936095,[3] Det Konservative Folkeparti - Conservative
936100,[NA] Not applicable
936118,[1] Socialdemokraterne - the Danish social democrats
936134,[NA] Not applicable
936150,"[7] Venstre, Danmarks Liberale Parti - Venstre"
936184,[3] Det Konservative Folkeparti - Conservative
936207,[6] Kristendemokraterne - Christian democrats
936249,[9] Enhedslisten - Unity List - The Red-Green Alliance
936265,"[7] Venstre, Danmarks Liberale Parti - Venstre"
936273,[1] Socialdemokraterne - the Danish social democrats
936281,[2] Det Radikale Venstre - Danish Social-Liberal Party
936299,[5] Dansk Folkeparti - Danish peoples party
936312,[1] Socialdemokraterne - the Danish social democrats
936320,[2] Det Radikale Venstre - Danish Social-Liberal Party
936346,[2] Det Radikale Venstre - Danish Social-Liberal Party
936362,[1] Socialdemokraterne - the Danish social democrats
936370,"[7] Venstre, Danmarks Liberale Parti - Venstre"
936396,[1] Socialdemokraterne - the Danish social democrats
936427,[4] SF Socialistisk Folkeparti - Socialist People's Party
936435,[6] Kristendemokraterne - Christian democrats
936443,[1] Socialdemokraterne - the Danish social democrats
936485,"[7] Venstre, Danmarks Liberale Parti - Venstre"
936516,"[7] Venstre, Danmarks Liberale Parti - Venstre"
936540,"[7] Venstre, Danmarks Liberale Parti - Venstre"
936558,[NA] Not applicable
936566,[NA] Don't know
936574,[4] SF Socialistisk Folkeparti - Socialist People's Party
936590,[5] Dansk Folkeparti - Danish peoples party
936621,"[7] Venstre, Danmarks Liberale Parti - Venstre"
936655,[NA] Not applicable
936663,[1] Socialdemokraterne - the Danish social democrats
936697,[1] Socialdemokraterne - the Danish social democrats
936702,[4] SF Socialistisk Folkeparti - Socialist People's Party
936710,[4] SF Socialistisk Folkeparti - Socialist People's Party
936728,"[7] Venstre, Danmarks Liberale Parti - Venstre"
936736,[2] Det Radikale Venstre - Danish Social-Liberal Party
936744,[NA] Not applicable
936752,[2] Det Radikale Venstre - Danish Social-Liberal Party
936760,[8] Liberal Alliance - Liberal Alliance
936778,[NA] Refusal
936794,[NA] Refusal
936825,[NA] Not applicable
936859,[9] Enhedslisten - Unity List - The Red-Green Alliance
936883,"[7] Venstre, Danmarks Liberale Parti - Venstre"
936906,[5] Dansk Folkeparti - Danish peoples party
936922,[1] Socialdemokraterne - the Danish social democrats
936948,[1] Socialdemokraterne - the Danish social democrats
936956,[2] Det Radikale Venstre - Danish Social-Liberal Party
936964,[3] Det Konservative Folkeparti - Conservative
936980,[5] Dansk Folkeparti - Danish peoples party
936998,[10] Andet - other
937009,[1] Socialdemokraterne - the Danish social democrats
937017,[1] Socialdemokraterne - the Danish social democrats
937041,[5] Dansk Folkeparti - Danish peoples party
937059,[NA] Not applicable
937083,"[7] Venstre, Danmarks Liberale Parti - Venstre"
937106,[NA] Not applicable
937114,[3] Det Konservative Folkeparti - Conservative
937148,[NA] Not applicable
937172,[9] Enhedslisten - Unity List - The Red-Green Alliance
937180,[NA] Not applicable
937198,[9] Enhedslisten - Unity List - The Red-Green Alliance
937245,"[7] Venstre, Danmarks Liberale Parti - Venstre"
937253,[4] SF Socialistisk Folkeparti - Socialist People's Party
937261,[3] Det Konservative Folkeparti - Conservative
937318,[1] Socialdemokraterne - the Danish social democrats
937342,[5] Dansk Folkeparti - Danish peoples party
937368,[1] Socialdemokraterne - the Danish social democrats
937376,"[7] Venstre, Danmarks Liberale Parti - Venstre"
937384,"[7] Venstre, Danmarks Liberale Parti - Venstre"
937392,[NA] Don't know
937415,[NA] Not applicable
937423,"[7] Venstre, Danmarks Liberale Parti - Venstre"
937431,"[7] Venstre, Danmarks Liberale Parti - Venstre"
937449,[10] Andet - other
937465,[NA] Not applicable
937499,"[7] Venstre, Danmarks Liberale Parti - Venstre"
937504,[4] SF Socialistisk Folkeparti - Socialist People's Party
937538,[NA] Not applicable
937546,[1] Socialdemokraterne - the Danish social democrats
937554,[NA] Not applicable
937562,[5] Dansk Folkeparti - Danish peoples party
937596,[4] SF Socialistisk Folkeparti - Socialist People's Party
937619,[NA] Not applicable
937627,"[7] Venstre, Danmarks Liberale Parti - Venstre"
937643,[1] Socialdemokraterne - the Danish social democrats
937677,"[7] Venstre, Danmarks Liberale Parti - Venstre"
937716,[NA] Refusal
937758,[2] Det Radikale Venstre - Danish Social-Liberal Party
937774,[2] Det Radikale Venstre - Danish Social-Liberal Party
937782,"[7] Venstre, Danmarks Liberale Parti - Venstre"
937805,[3] Det Konservative Folkeparti - Conservative
937813,[1] Socialdemokraterne - the Danish social democrats
937821,[5] Dansk Folkeparti - Danish peoples party
937839,[1] Socialdemokraterne - the Danish social democrats
937863,"[7] Venstre, Danmarks Liberale Parti - Venstre"
937910,[8] Liberal Alliance - Liberal Alliance
937928,[1] Socialdemokraterne - the Danish social democrats
937952,[1] Socialdemokraterne - the Danish social democrats
937960,[1] Socialdemokraterne - the Danish social democrats
938005,[2] Det Radikale Venstre - Danish Social-Liberal Party
938013,[5] Dansk Folkeparti - Danish peoples party
938039,[4] SF Socialistisk Folkeparti - Socialist People's Party
938047,"[7] Venstre, Danmarks Liberale Parti - Venstre"
938055,[NA] Don't know
938063,"[7] Venstre, Danmarks Liberale Parti - Venstre"
938071,"[7] Venstre, Danmarks Liberale Parti - Venstre"
938102,"[7] Venstre, Danmarks Liberale Parti - Venstre"
938110,"[7] Venstre, Danmarks Liberale Parti - Venstre"
938128,[1] Socialdemokraterne - the Danish social democrats
938136,[5] Dansk Folkeparti - Danish peoples party
938160,[NA] Refusal
938178,[1] Socialdemokraterne - the Danish social democrats
938194,"[7] Venstre, Danmarks Liberale Parti - Venstre"
938225,[NA] Not applicable
938241,[1] Socialdemokraterne - the Danish social democrats
938259,[2] Det Radikale Venstre - Danish Social-Liberal Party
938283,[NA] Not applicable
938348,[2] Det Radikale Venstre - Danish Social-Liberal Party
938356,"[7] Venstre, Danmarks Liberale Parti - Venstre"
938364,[9] Enhedslisten - Unity List - The Red-Green Alliance
938372,[5] Dansk Folkeparti - Danish peoples party
938380,[NA] Not applicable
938398,"[7] Venstre, Danmarks Liberale Parti - Venstre"
938411,[9] Enhedslisten - Unity List - The Red-Green Alliance
938437,[NA] Not applicable
938453,[5] Dansk Folkeparti - Danish peoples party
938461,[1] Socialdemokraterne - the Danish social democrats
938479,[3] Det Konservative Folkeparti - Conservative
938487,[NA] Refusal
938495,[3] Det Konservative Folkeparti - Conservative
938534,[NA] Not applicable
938542,[4] SF Socialistisk Folkeparti - Socialist People's Party
938550,"[7] Venstre, Danmarks Liberale Parti - Venstre"
938607,[8] Liberal Alliance - Liberal Alliance
938615,[9] Enhedslisten - Unity List - The Red-Green Alliance
938623,[2] Det Radikale Venstre - Danish Social-Liberal Party
938631,[1] Socialdemokraterne - the Danish social democrats
938657,[8] Liberal Alliance - Liberal Alliance
938665,[NA] Not applicable
938681,[9] Enhedslisten - Unity List - The Red-Green Alliance
938699,[1] Socialdemokraterne - the Danish social democrats
938704,[1] Socialdemokraterne - the Danish social democrats
938720,"[7] Venstre, Danmarks Liberale Parti - Venstre"
938788,"[7] Venstre, Danmarks Liberale Parti - Venstre"
938843,[4] SF Socialistisk Folkeparti - Socialist People's Party
938851,"[7] Venstre, Danmarks Liberale Parti - Venstre"
938885,[4] SF Socialistisk Folkeparti - Socialist People's Party
938908,[NA] Not applicable
938916,"[7] Venstre, Danmarks Liberale Parti - Venstre"
938932,[2] Det Radikale Venstre - Danish Social-Liberal Party
938940,[NA] Not applicable
938958,[NA] Not applicable
938966,[2] Det Radikale Venstre - Danish Social-Liberal Party
938974,[NA] Don't know
939001,[2] Det Radikale Venstre - Danish Social-Liberal Party
939019,[1] Socialdemokraterne - the Danish social democrats
939051,[10] Andet - other
939093,[NA] Not applicable
939116,[4] SF Socialistisk Folkeparti - Socialist People's Party
939124,[1] Socialdemokraterne - the Danish social democrats
939132,[4] SF Socialistisk Folkeparti - Socialist People's Party
939140,[8] Liberal Alliance - Liberal Alliance
939174,[4] SF Socialistisk Folkeparti - Socialist People's Party
939182,"[7] Venstre, Danmarks Liberale Parti - Venstre"
939190,[9] Enhedslisten - Unity List - The Red-Green Alliance
939239,[4] SF Socialistisk Folkeparti - Socialist People's Party
939271,"[7] Venstre, Danmarks Liberale Parti - Venstre"
939297,[1] Socialdemokraterne - the Danish social democrats
939302,[NA] Refusal
939344,[2] Det Radikale Venstre - Danish Social-Liberal Party
939360,[NA] Not applicable
939386,[8] Liberal Alliance - Liberal Alliance
939433,[3] Det Konservative Folkeparti - Conservative
939441,[NA] Refusal
939459,"[7] Venstre, Danmarks Liberale Parti - Venstre"
939467,[5] Dansk Folkeparti - Danish peoples party
939483,[4] SF Socialistisk Folkeparti - Socialist People's Party
939491,[NA] Not applicable
939506,"[7] Venstre, Danmarks Liberale Parti - Venstre"
939530,[2] Det Radikale Venstre - Danish Social-Liberal Party
939556,[3] Det Konservative Folkeparti - Conservative
939603,[NA] Refusal
939611,"[7] Venstre, Danmarks Liberale Parti - Venstre"
939629,[4] SF Socialistisk Folkeparti - Socialist People's Party
939637,[NA] Not applicable
939653,[9] Enhedslisten - Unity List - The Red-Green Alliance
939661,[1] Socialdemokraterne - the Danish social democrats
939700,[3] Det Konservative Folkeparti - Conservative
939718,[1] Socialdemokraterne - the Danish social democrats
939742,[5] Dansk Folkeparti - Danish peoples party
939784,"[7] Venstre, Danmarks Liberale Parti - Venstre"
939792,[NA] Refusal
939807,[1] Socialdemokraterne - the Danish social democrats
939865,[NA] Not applicable
939873,[NA] Not applicable
939881,[NA] Not applicable
939899,[NA] Not applicable
939904,[3] Det Konservative Folkeparti - Conservative
939920,[4] SF Socialistisk Folkeparti - Socialist People's Party
939938,[3] Det Konservative Folkeparti - Conservative
939946,[NA] Not applicable
939970,[8] Liberal Alliance - Liberal Alliance
940026,[NA] Not applicable
940034,[5] Dansk Folkeparti - Danish peoples party
940042,"[7] Venstre, Danmarks Liberale Parti - Venstre"
940050,[NA] Not applicable
940076,[NA] Not applicable
940084,[1] Socialdemokraterne - the Danish social democrats
940107,[NA] Not applicable
940149,[1] Socialdemokraterne - the Danish social democrats
940165,[1] Socialdemokraterne - the Danish social democrats
940173,[1] Socialdemokraterne - the Danish social democrats
940199,[3] Det Konservative Folkeparti - Conservative
940246,[4] SF Socialistisk Folkeparti - Socialist People's Party
940254,"[7] Venstre, Danmarks Liberale Parti - Venstre"
940288,[1] Socialdemokraterne - the Danish social democrats
940296,[1] Socialdemokraterne - the Danish social democrats
940301,[5] Dansk Folkeparti - Danish peoples party
940319,[4] SF Socialistisk Folkeparti - Socialist People's Party
940335,[NA] Not applicable
940343,[1] Socialdemokraterne - the Danish social democrats
940351,[4] SF Socialistisk Folkeparti - Socialist People's Party
940369,[9] Enhedslisten - Unity List - The Red-Green Alliance
940377,[2] Det Radikale Venstre - Danish Social-Liberal Party
940385,"[7] Venstre, Danmarks Liberale Parti - Venstre"
940416,[NA] Not applicable
940424,[1] Socialdemokraterne - the Danish social democrats
940440,[NA] Not applicable
940458,"[7] Venstre, Danmarks Liberale Parti - Venstre"
940466,[3] Det Konservative Folkeparti - Conservative
940490,"[7] Venstre, Danmarks Liberale Parti - Venstre"
940505,"[7] Venstre, Danmarks Liberale Parti - Venstre"
940539,[NA] Refusal
940547,"[7] Venstre, Danmarks Liberale Parti - Venstre"
940571,[9] Enhedslisten - Unity List - The Red-Green Alliance
940628,[3] Det Konservative Folkeparti - Conservative
940644,[NA] Not applicable
940652,"[7] Venstre, Danmarks Liberale Parti - Venstre"
940660,[5] Dansk Folkeparti - Danish peoples party
940678,[NA] Not applicable
940686,[2] Det Radikale Venstre - Danish Social-Liberal Party
