idno,polpartvt
940694,[1] Socialdemokraterne - the Danish social democrats
940717,[4] SF Socialistisk Folkeparti - Socialist People's Party
940725,[1] Socialdemokraterne - the Danish social democrats
940733,"[7] Venstre, Danmarks Liberale Parti - Venstre"
940759,[NA] Not applicable
940775,[8] Liberal Alliance - Liberal Alliance
940783,[1] Socialdemokraterne - the Danish social democrats
940806,"[7] Venstre, Danmarks Liberale Parti - Venstre"
940822,[5] Dansk Folkeparti - Danish peoples party
940830,[5] Dansk Folkeparti - Danish peoples party
940848,[1] Socialdemokraterne - the Danish social democrats
940856,[1] Socialdemokraterne - the Danish social democrats
940864,[9] Enhedslisten - Unity List - The Red-Green Alliance
940880,[2] Det Radikale Venstre - Danish Social-Liberal Party
940898,[6] Kristendemokraterne - Christian democrats
940903,[8] Liberal Alliance - Liberal Alliance
940945,[6] Kristendemokraterne - Christian democrats
940979,"[7] Venstre, Danmarks Liberale Parti - Venstre"
940987,"[7] Venstre, Danmarks Liberale Parti - Venstre"
941014,[9] Enhedslisten - Unity List - The Red-Green Alliance
941030,[4] SF Socialistisk Folkeparti - Socialist People's Party
941103,[NA] Not applicable
941129,[2] Det Radikale Venstre - Danish Social-Liberal Party
941153,[4] SF Socialistisk Folkeparti - Socialist People's Party
941179,[1] Socialdemokraterne - the Danish social democrats
941195,[5] Dansk Folkeparti - Danish peoples party
941200,"[7] Venstre, Danmarks Liberale Parti - Venstre"
941226,[2] Det Radikale Venstre - Danish Social-Liberal Party
941242,"[7] Venstre, Danmarks Liberale Parti - Venstre"
941268,"[7] Venstre, Danmarks Liberale Parti - Venstre"
941284,[9] Enhedslisten - Unity List - The Red-Green Alliance
941307,"[7] Venstre, Danmarks Liberale Parti - Venstre"
941323,[2] Det Radikale Venstre - Danish Social-Liberal Party
941331,[2] Det Radikale Venstre - Danish Social-Liberal Party
941365,"[7] Venstre, Danmarks Liberale Parti - Venstre"
941373,[NA] Not applicable
941412,"[7] Venstre, Danmarks Liberale Parti - Venstre"
941420,[1] Socialdemokraterne - the Danish social democrats
941438,[5] Dansk Folkeparti - Danish peoples party
941470,[4] SF Socialistisk Folkeparti - Socialist People's Party
941501,[5] Dansk Folkeparti - Danish peoples party
941519,[1] Socialdemokraterne - the Danish social democrats
941535,[2] Det Radikale Venstre - Danish Social-Liberal Party
941543,[2] Det Radikale Venstre - Danish Social-Liberal Party
941551,"[7] Venstre, Danmarks Liberale Parti - Venstre"
941569,[2] Det Radikale Venstre - Danish Social-Liberal Party
941577,[4] SF Socialistisk Folkeparti - Socialist People's Party
941585,[9] Enhedslisten - Unity List - The Red-Green Alliance
941608,"[7] Venstre, Danmarks Liberale Parti - Venstre"
941640,[4] SF Socialistisk Folkeparti - Socialist People's Party
941674,[5] Dansk Folkeparti - Danish peoples party
941721,[1] Socialdemokraterne - the Danish social democrats
941739,[2] Det Radikale Venstre - Danish Social-Liberal Party
941747,[1] Socialdemokraterne - the Danish social democrats
941755,[6] Kristendemokraterne - Christian democrats
941763,[NA] Not applicable
941771,[9] Enhedslisten - Unity List - The Red-Green Alliance
941797,[5] Dansk Folkeparti - Danish peoples party
941802,[1] Socialdemokraterne - the Danish social democrats
941828,[1] Socialdemokraterne - the Danish social democrats
941844,[3] Det Konservative Folkeparti - Conservative
941860,[3] Det Konservative Folkeparti - Conservative
941878,[2] Det Radikale Venstre - Danish Social-Liberal Party
941886,[4] SF Socialistisk Folkeparti - Socialist People's Party
941894,"[7] Venstre, Danmarks Liberale Parti - Venstre"
941909,[4] SF Socialistisk Folkeparti - Socialist People's Party
941917,[5] Dansk Folkeparti - Danish peoples party
941959,[9] Enhedslisten - Unity List - The Red-Green Alliance
941975,[9] Enhedslisten - Unity List - The Red-Green Alliance
941983,[5] Dansk Folkeparti - Danish peoples party
941991,[1] Socialdemokraterne - the Danish social democrats
942010,[NA] Refusal
942036,[9] Enhedslisten - Unity List - The Red-Green Alliance
942044,[NA] Not applicable
942078,[3] Det Konservative Folkeparti - Conservative
942086,[1] Socialdemokraterne - the Danish social democrats
942094,[2] Det Radikale Venstre - Danish Social-Liberal Party
942117,[2] Det Radikale Venstre - Danish Social-Liberal Party
942141,[4] SF Socialistisk Folkeparti - Socialist People's Party
942175,"[7] Venstre, Danmarks Liberale Parti - Venstre"
942183,[1] Socialdemokraterne - the Danish social democrats
942230,[1] Socialdemokraterne - the Danish social democrats
942248,[1] Socialdemokraterne - the Danish social democrats
942256,[5] Dansk Folkeparti - Danish peoples party
942264,[2] Det Radikale Venstre - Danish Social-Liberal Party
942280,[3] Det Konservative Folkeparti - Conservative
942298,[8] Liberal Alliance - Liberal Alliance
942337,[4] SF Socialistisk Folkeparti - Socialist People's Party
942361,[1] Socialdemokraterne - the Danish social democrats
942395,[NA] No answer
942442,"[7] Venstre, Danmarks Liberale Parti - Venstre"
942468,[1] Socialdemokraterne - the Danish social democrats
942476,"[7] Venstre, Danmarks Liberale Parti - Venstre"
942484,[NA] Not applicable
942492,[NA] Not applicable
942515,[9] Enhedslisten - Unity List - The Red-Green Alliance
942531,"[7] Venstre, Danmarks Liberale Parti - Venstre"
942557,[4] SF Socialistisk Folkeparti - Socialist People's Party
942565,[1] Socialdemokraterne - the Danish social democrats
942599,[2] Det Radikale Venstre - Danish Social-Liberal Party
942604,[3] Det Konservative Folkeparti - Conservative
942620,[5] Dansk Folkeparti - Danish peoples party
942638,[1] Socialdemokraterne - the Danish social democrats
942662,[5] Dansk Folkeparti - Danish peoples party
942701,[1] Socialdemokraterne - the Danish social democrats
942719,"[7] Venstre, Danmarks Liberale Parti - Venstre"
942727,[5] Dansk Folkeparti - Danish peoples party
942743,[1] Socialdemokraterne - the Danish social democrats
942785,[1] Socialdemokraterne - the Danish social democrats
942793,"[7] Venstre, Danmarks Liberale Parti - Venstre"
942808,[1] Socialdemokraterne - the Danish social democrats
942816,[5] Dansk Folkeparti - Danish peoples party
942824,[NA] Not applicable
942840,"[7] Venstre, Danmarks Liberale Parti - Venstre"
942866,[2] Det Radikale Venstre - Danish Social-Liberal Party
942874,"[7] Venstre, Danmarks Liberale Parti - Venstre"
942890,[NA] Not applicable
942913,[NA] Not applicable
942939,[5] Dansk Folkeparti - Danish peoples party
942947,[4] SF Socialistisk Folkeparti - Socialist People's Party
942955,[NA] Not applicable
942963,[8] Liberal Alliance - Liberal Alliance
943008,[1] Socialdemokraterne - the Danish social democrats
943016,[4] SF Socialistisk Folkeparti - Socialist People's Party
943040,[2] Det Radikale Venstre - Danish Social-Liberal Party
943058,[NA] Not applicable
943066,[4] SF Socialistisk Folkeparti - Socialist People's Party
943082,[5] Dansk Folkeparti - Danish peoples party
943090,[9] Enhedslisten - Unity List - The Red-Green Alliance
943105,"[7] Venstre, Danmarks Liberale Parti - Venstre"
943121,"[7] Venstre, Danmarks Liberale Parti - Venstre"
943147,[NA] Not applicable
943155,[1] Socialdemokraterne - the Danish social democrats
943171,[9] Enhedslisten - Unity List - The Red-Green Alliance
943210,"[7] Venstre, Danmarks Liberale Parti - Venstre"
943236,[1] Socialdemokraterne - the Danish social democrats
943260,[1] Socialdemokraterne - the Danish social democrats
943278,[1] Socialdemokraterne - the Danish social democrats
943286,[9] Enhedslisten - Unity List - The Red-Green Alliance
943294,"[7] Venstre, Danmarks Liberale Parti - Venstre"
943309,[1] Socialdemokraterne - the Danish social democrats
943317,[1] Socialdemokraterne - the Danish social democrats
943325,[NA] Not applicable
943333,[5] Dansk Folkeparti - Danish peoples party
943341,[NA] Not applicable
943367,[NA] Not applicable
943430,[2] Det Radikale Venstre - Danish Social-Liberal Party
943448,[NA] Don't know
943464,"[7] Venstre, Danmarks Liberale Parti - Venstre"
943480,[NA] Refusal
943498,[8] Liberal Alliance - Liberal Alliance
943511,[NA] Not applicable
943529,"[7] Venstre, Danmarks Liberale Parti - Venstre"
943545,[1] Socialdemokraterne - the Danish social democrats
943553,[2] Det Radikale Venstre - Danish Social-Liberal Party
943595,[NA] Not applicable
943618,[3] Det Konservative Folkeparti - Conservative
943626,[3] Det Konservative Folkeparti - Conservative
943634,"[7] Venstre, Danmarks Liberale Parti - Venstre"
943642,[NA] Refusal
943668,"[7] Venstre, Danmarks Liberale Parti - Venstre"
943684,[1] Socialdemokraterne - the Danish social democrats
943715,[1] Socialdemokraterne - the Danish social democrats
943749,[10] Andet - other
943757,"[7] Venstre, Danmarks Liberale Parti - Venstre"
943765,[2] Det Radikale Venstre - Danish Social-Liberal Party
943773,[4] SF Socialistisk Folkeparti - Socialist People's Party
943846,"[7] Venstre, Danmarks Liberale Parti - Venstre"
943896,"[7] Venstre, Danmarks Liberale Parti - Venstre"
943927,"[7] Venstre, Danmarks Liberale Parti - Venstre"
943951,[1] Socialdemokraterne - the Danish social democrats
943969,"[7] Venstre, Danmarks Liberale Parti - Venstre"
943985,[9] Enhedslisten - Unity List - The Red-Green Alliance
943993,[4] SF Socialistisk Folkeparti - Socialist People's Party
944004,[9] Enhedslisten - Unity List - The Red-Green Alliance
944012,"[7] Venstre, Danmarks Liberale Parti - Venstre"
944020,[2] Det Radikale Venstre - Danish Social-Liberal Party
944046,[2] Det Radikale Venstre - Danish Social-Liberal Party
944062,[NA] Not applicable
944070,[NA] Refusal
944088,[8] Liberal Alliance - Liberal Alliance
944101,[1] Socialdemokraterne - the Danish social democrats
944119,[NA] Not applicable
944127,[9] Enhedslisten - Unity List - The Red-Green Alliance
944135,"[7] Venstre, Danmarks Liberale Parti - Venstre"
944193,"[7] Venstre, Danmarks Liberale Parti - Venstre"
944208,[NA] Not applicable
944216,[NA] Refusal
944258,[2] Det Radikale Venstre - Danish Social-Liberal Party
944266,[1] Socialdemokraterne - the Danish social democrats
944313,"[7] Venstre, Danmarks Liberale Parti - Venstre"
944347,[NA] Not applicable
944355,[5] Dansk Folkeparti - Danish peoples party
944363,[4] SF Socialistisk Folkeparti - Socialist People's Party
944371,[NA] Not applicable
944397,[10] Andet - other
944428,"[7] Venstre, Danmarks Liberale Parti - Venstre"
944436,"[7] Venstre, Danmarks Liberale Parti - Venstre"
944444,[NA] Don't know
944478,[4] SF Socialistisk Folkeparti - Socialist People's Party
944517,[NA] Not applicable
944525,[NA] Refusal
944541,"[7] Venstre, Danmarks Liberale Parti - Venstre"
944567,"[7] Venstre, Danmarks Liberale Parti - Venstre"
944575,[8] Liberal Alliance - Liberal Alliance
944591,[4] SF Socialistisk Folkeparti - Socialist People's Party
944606,[1] Socialdemokraterne - the Danish social democrats
944622,"[7] Venstre, Danmarks Liberale Parti - Venstre"
944630,"[7] Venstre, Danmarks Liberale Parti - Venstre"
944648,[5] Dansk Folkeparti - Danish peoples party
944664,[2] Det Radikale Venstre - Danish Social-Liberal Party
944672,[2] Det Radikale Venstre - Danish Social-Liberal Party
944698,[NA] Not applicable
944711,"[7] Venstre, Danmarks Liberale Parti - Venstre"
944729,"[7] Venstre, Danmarks Liberale Parti - Venstre"
944753,[5] Dansk Folkeparti - Danish peoples party
944779,[5] Dansk Folkeparti - Danish peoples party
944787,"[7] Venstre, Danmarks Liberale Parti - Venstre"
944818,[NA] Not applicable
944826,[10] Andet - other
944876,"[7] Venstre, Danmarks Liberale Parti - Venstre"
944923,[4] SF Socialistisk Folkeparti - Socialist People's Party
944931,[NA] Not applicable
944949,[2] Det Radikale Venstre - Danish Social-Liberal Party
944999,"[7] Venstre, Danmarks Liberale Parti - Venstre"
945018,[1] Socialdemokraterne - the Danish social democrats
945026,[NA] Refusal
945034,[1] Socialdemokraterne - the Danish social democrats
945042,[NA] Refusal
945068,[5] Dansk Folkeparti - Danish peoples party
945076,"[7] Venstre, Danmarks Liberale Parti - Venstre"
945084,[5] Dansk Folkeparti - Danish peoples party
945092,[NA] Not applicable
945107,[4] SF Socialistisk Folkeparti - Socialist People's Party
945149,[2] Det Radikale Venstre - Danish Social-Liberal Party
945212,"[7] Venstre, Danmarks Liberale Parti - Venstre"
945220,[9] Enhedslisten - Unity List - The Red-Green Alliance
945262,[1] Socialdemokraterne - the Danish social democrats
945296,"[7] Venstre, Danmarks Liberale Parti - Venstre"
945301,[8] Liberal Alliance - Liberal Alliance
945319,[9] Enhedslisten - Unity List - The Red-Green Alliance
945369,[4] SF Socialistisk Folkeparti - Socialist People's Party
945466,[2] Det Radikale Venstre - Danish Social-Liberal Party
945521,[4] SF Socialistisk Folkeparti - Socialist People's Party
945555,[NA] Not applicable
945563,[2] Det Radikale Venstre - Danish Social-Liberal Party
945571,[2] Det Radikale Venstre - Danish Social-Liberal Party
945652,[NA] Not applicable
945660,"[7] Venstre, Danmarks Liberale Parti - Venstre"
945686,"[7] Venstre, Danmarks Liberale Parti - Venstre"
945733,[1] Socialdemokraterne - the Danish social democrats
945759,[8] Liberal Alliance - Liberal Alliance
945767,"[7] Venstre, Danmarks Liberale Parti - Venstre"
945791,[1] Socialdemokraterne - the Danish social democrats
945806,[2] Det Radikale Venstre - Danish Social-Liberal Party
945814,[1] Socialdemokraterne - the Danish social democrats
945822,[5] Dansk Folkeparti - Danish peoples party
945830,[1] Socialdemokraterne - the Danish social democrats
945856,[8] Liberal Alliance - Liberal Alliance
945872,"[7] Venstre, Danmarks Liberale Parti - Venstre"
945903,[9] Enhedslisten - Unity List - The Red-Green Alliance
945937,"[7] Venstre, Danmarks Liberale Parti - Venstre"
945953,[NA] Not applicable
945961,[NA] Not applicable
946014,[NA] Not applicable
946030,[8] Liberal Alliance - Liberal Alliance
946064,[5] Dansk Folkeparti - Danish peoples party
946072,[NA] Not applicable
946098,[4] SF Socialistisk Folkeparti - Socialist People's Party
946129,[2] Det Radikale Venstre - Danish Social-Liberal Party
946153,[1] Socialdemokraterne - the Danish social democrats
946161,"[7] Venstre, Danmarks Liberale Parti - Venstre"
946195,"[7] Venstre, Danmarks Liberale Parti - Venstre"
946218,[8] Liberal Alliance - Liberal Alliance
946250,[NA] Not applicable
946268,[5] Dansk Folkeparti - Danish peoples party
946276,"[7] Venstre, Danmarks Liberale Parti - Venstre"
946292,[NA] Not applicable
946331,[4] SF Socialistisk Folkeparti - Socialist People's Party
946349,[4] SF Socialistisk Folkeparti - Socialist People's Party
946373,"[7] Venstre, Danmarks Liberale Parti - Venstre"
946381,[NA] Not applicable
946404,"[7] Venstre, Danmarks Liberale Parti - Venstre"
946412,[NA] Not applicable
946446,[1] Socialdemokraterne - the Danish social democrats
946488,"[7] Venstre, Danmarks Liberale Parti - Venstre"
946496,[5] Dansk Folkeparti - Danish peoples party
946519,[NA] Not applicable
946527,"[7] Venstre, Danmarks Liberale Parti - Venstre"
946535,[1] Socialdemokraterne - the Danish social democrats
946569,[1] Socialdemokraterne - the Danish social democrats
946585,[1] Socialdemokraterne - the Danish social democrats
946616,[5] Dansk Folkeparti - Danish peoples party
946624,[10] Andet - other
946658,[2] Det Radikale Venstre - Danish Social-Liberal Party
946666,[4] SF Socialistisk Folkeparti - Socialist People's Party
946682,"[7] Venstre, Danmarks Liberale Parti - Venstre"
946690,[5] Dansk Folkeparti - Danish peoples party
946721,[2] Det Radikale Venstre - Danish Social-Liberal Party
946747,[5] Dansk Folkeparti - Danish peoples party
946755,[NA] Not applicable
946797,[1] Socialdemokraterne - the Danish social democrats
946810,[5] Dansk Folkeparti - Danish peoples party
946828,[2] Det Radikale Venstre - Danish Social-Liberal Party
946836,[4] SF Socialistisk Folkeparti - Socialist People's Party
946852,[NA] Not applicable
946886,[NA] Not applicable
946917,[1] Socialdemokraterne - the Danish social democrats
946925,[NA] Refusal
946933,[4] SF Socialistisk Folkeparti - Socialist People's Party
946959,[1] Socialdemokraterne - the Danish social democrats
946967,[5] Dansk Folkeparti - Danish peoples party
946975,[1] Socialdemokraterne - the Danish social democrats
947010,"[7] Venstre, Danmarks Liberale Parti - Venstre"
947028,[10] Andet - other
947060,[5] Dansk Folkeparti - Danish peoples party
947078,[2] Det Radikale Venstre - Danish Social-Liberal Party
947086,[1] Socialdemokraterne - the Danish social democrats
947117,"[7] Venstre, Danmarks Liberale Parti - Venstre"
947141,[NA] Don't know
947159,[NA] Not applicable
947167,[9] Enhedslisten - Unity List - The Red-Green Alliance
947214,[4] SF Socialistisk Folkeparti - Socialist People's Party
947230,[1] Socialdemokraterne - the Danish social democrats
947248,[1] Socialdemokraterne - the Danish social democrats
947256,[9] Enhedslisten - Unity List - The Red-Green Alliance
947272,[4] SF Socialistisk Folkeparti - Socialist People's Party
947280,[NA] Not applicable
947303,[NA] Not applicable
947329,[5] Dansk Folkeparti - Danish peoples party
947337,[1] Socialdemokraterne - the Danish social democrats
947345,[8] Liberal Alliance - Liberal Alliance
947379,[2] Det Radikale Venstre - Danish Social-Liberal Party
947395,[1] Socialdemokraterne - the Danish social democrats
947400,[NA] Not applicable
947450,"[7] Venstre, Danmarks Liberale Parti - Venstre"
947476,[3] Det Konservative Folkeparti - Conservative
947484,[NA] Don't know
947492,[2] Det Radikale Venstre - Danish Social-Liberal Party
947507,[9] Enhedslisten - Unity List - The Red-Green Alliance
947515,"[7] Venstre, Danmarks Liberale Parti - Venstre"
947523,[1] Socialdemokraterne - the Danish social democrats
947557,[NA] Don't know
947565,[1] Socialdemokraterne - the Danish social democrats
947612,"[7] Venstre, Danmarks Liberale Parti - Venstre"
947638,[4] SF Socialistisk Folkeparti - Socialist People's Party
947646,[9] Enhedslisten - Unity List - The Red-Green Alliance
947662,[4] SF Socialistisk Folkeparti - Socialist People's Party
947719,[1] Socialdemokraterne - the Danish social democrats
947735,"[7] Venstre, Danmarks Liberale Parti - Venstre"
947751,[5] Dansk Folkeparti - Danish peoples party
947769,"[7] Venstre, Danmarks Liberale Parti - Venstre"
947793,[NA] Not applicable
947808,[1] Socialdemokraterne - the Danish social democrats
947816,[5] Dansk Folkeparti - Danish peoples party
947840,[NA] Not applicable
947858,[2] Det Radikale Venstre - Danish Social-Liberal Party
947874,[9] Enhedslisten - Unity List - The Red-Green Alliance
947882,[1] Socialdemokraterne - the Danish social democrats
947890,[NA] Not applicable
947905,"[7] Venstre, Danmarks Liberale Parti - Venstre"
947921,[2] Det Radikale Venstre - Danish Social-Liberal Party
947947,"[7] Venstre, Danmarks Liberale Parti - Venstre"
947971,"[7] Venstre, Danmarks Liberale Parti - Venstre"
947989,[8] Liberal Alliance - Liberal Alliance
947997,[NA] Not applicable
948016,"[7] Venstre, Danmarks Liberale Parti - Venstre"
948074,[NA] Not applicable
948082,[NA] Refusal
948113,"[7] Venstre, Danmarks Liberale Parti - Venstre"
948121,[4] SF Socialistisk Folkeparti - Socialist People's Party
948189,[2] Det Radikale Venstre - Danish Social-Liberal Party
948197,[2] Det Radikale Venstre - Danish Social-Liberal Party
948202,[1] Socialdemokraterne - the Danish social democrats
948244,[NA] Not applicable
948286,[NA] Not applicable
948294,[2] Det Radikale Venstre - Danish Social-Liberal Party
948333,[5] Dansk Folkeparti - Danish peoples party
948341,[1] Socialdemokraterne - the Danish social democrats
948359,"[7] Venstre, Danmarks Liberale Parti - Venstre"
948375,[4] SF Socialistisk Folkeparti - Socialist People's Party
948383,[1] Socialdemokraterne - the Danish social democrats
948391,[NA] Not applicable
948406,"[7] Venstre, Danmarks Liberale Parti - Venstre"
948414,[1] Socialdemokraterne - the Danish social democrats
948422,[5] Dansk Folkeparti - Danish peoples party
948448,[NA] Not applicable
948456,[4] SF Socialistisk Folkeparti - Socialist People's Party
948472,[9] Enhedslisten - Unity List - The Red-Green Alliance
948480,[3] Det Konservative Folkeparti - Conservative
948529,[4] SF Socialistisk Folkeparti - Socialist People's Party
948545,[9] Enhedslisten - Unity List - The Red-Green Alliance
948595,[5] Dansk Folkeparti - Danish peoples party
948600,"[7] Venstre, Danmarks Liberale Parti - Venstre"
948618,[NA] Not applicable
948650,[5] Dansk Folkeparti - Danish peoples party
948676,[NA] Don't know
948715,[8] Liberal Alliance - Liberal Alliance
948731,[1] Socialdemokraterne - the Danish social democrats
948757,[5] Dansk Folkeparti - Danish peoples party
948765,[1] Socialdemokraterne - the Danish social democrats
948781,[9] Enhedslisten - Unity List - The Red-Green Alliance
948838,[4] SF Socialistisk Folkeparti - Socialist People's Party
948846,[NA] Not applicable
948854,[NA] Not applicable
948896,[1] Socialdemokraterne - the Danish social democrats
948901,"[7] Venstre, Danmarks Liberale Parti - Venstre"
948919,[NA] Not applicable
948927,"[7] Venstre, Danmarks Liberale Parti - Venstre"
948943,[5] Dansk Folkeparti - Danish peoples party
948993,"[7] Venstre, Danmarks Liberale Parti - Venstre"
949004,"[7] Venstre, Danmarks Liberale Parti - Venstre"
949012,[8] Liberal Alliance - Liberal Alliance
949020,"[7] Venstre, Danmarks Liberale Parti - Venstre"
949046,[1] Socialdemokraterne - the Danish social democrats
949054,"[7] Venstre, Danmarks Liberale Parti - Venstre"
949070,[8] Liberal Alliance - Liberal Alliance
949096,"[7] Venstre, Danmarks Liberale Parti - Venstre"
949119,[1] Socialdemokraterne - the Danish social democrats
949135,[2] Det Radikale Venstre - Danish Social-Liberal Party
949143,"[7] Venstre, Danmarks Liberale Parti - Venstre"
949185,"[7] Venstre, Danmarks Liberale Parti - Venstre"
949193,[NA] Not applicable
949208,[NA] Don't know
949216,[NA] Not applicable
949224,[1] Socialdemokraterne - the Danish social democrats
949258,[5] Dansk Folkeparti - Danish peoples party
949274,[3] Det Konservative Folkeparti - Conservative
949305,[1] Socialdemokraterne - the Danish social democrats
949313,[NA] Not applicable
949321,[2] Det Radikale Venstre - Danish Social-Liberal Party
949339,[1] Socialdemokraterne - the Danish social democrats
949363,[2] Det Radikale Venstre - Danish Social-Liberal Party
949389,[1] Socialdemokraterne - the Danish social democrats
949397,[5] Dansk Folkeparti - Danish peoples party
949436,[9] Enhedslisten - Unity List - The Red-Green Alliance
949444,[9] Enhedslisten - Unity List - The Red-Green Alliance
949486,[9] Enhedslisten - Unity List - The Red-Green Alliance
949494,[NA] Not applicable
949509,[9] Enhedslisten - Unity List - The Red-Green Alliance
949517,[4] SF Socialistisk Folkeparti - Socialist People's Party
949541,[9] Enhedslisten - Unity List - The Red-Green Alliance
949583,[1] Socialdemokraterne - the Danish social democrats
949591,[2] Det Radikale Venstre - Danish Social-Liberal Party
949606,[NA] Don't know
949614,[5] Dansk Folkeparti - Danish peoples party
949622,[1] Socialdemokraterne - the Danish social democrats
949630,[NA] Not applicable
949648,[5] Dansk Folkeparti - Danish peoples party
949680,[1] Socialdemokraterne - the Danish social democrats
949703,"[7] Venstre, Danmarks Liberale Parti - Venstre"
949711,[5] Dansk Folkeparti - Danish peoples party
949745,[4] SF Socialistisk Folkeparti - Socialist People's Party
949779,[8] Liberal Alliance - Liberal Alliance
949787,[3] Det Konservative Folkeparti - Conservative
949800,[2] Det Radikale Venstre - Danish Social-Liberal Party
949826,[2] Det Radikale Venstre - Danish Social-Liberal Party
949868,[5] Dansk Folkeparti - Danish peoples party
949876,[NA] Not applicable
949892,[NA] Not applicable
949907,"[7] Venstre, Danmarks Liberale Parti - Venstre"
949915,[2] Det Radikale Venstre - Danish Social-Liberal Party
949923,[1] Socialdemokraterne - the Danish social democrats
949931,"[7] Venstre, Danmarks Liberale Parti - Venstre"
949981,[5] Dansk Folkeparti - Danish peoples party
949999,[NA] Not applicable
950037,[5] Dansk Folkeparti - Danish peoples party
950053,[2] Det Radikale Venstre - Danish Social-Liberal Party
950061,[NA] Not applicable
950079,[5] Dansk Folkeparti - Danish peoples party
950095,[5] Dansk Folkeparti - Danish peoples party
950118,[9] Enhedslisten - Unity List - The Red-Green Alliance
950134,[1] Socialdemokraterne - the Danish social democrats
950150,[3] Det Konservative Folkeparti - Conservative
950184,[9] Enhedslisten - Unity List - The Red-Green Alliance
950192,"[7] Venstre, Danmarks Liberale Parti - Venstre"
950249,"[7] Venstre, Danmarks Liberale Parti - Venstre"
950273,[5] Dansk Folkeparti - Danish peoples party
950304,[3] Det Konservative Folkeparti - Conservative
950320,[2] Det Radikale Venstre - Danish Social-Liberal Party
950346,[5] Dansk Folkeparti - Danish peoples party
950354,[1] Socialdemokraterne - the Danish social democrats
950362,"[7] Venstre, Danmarks Liberale Parti - Venstre"
950427,[NA] Not applicable
950443,[NA] Not applicable
950469,[1] Socialdemokraterne - the Danish social democrats
950477,"[7] Venstre, Danmarks Liberale Parti - Venstre"
950493,[1] Socialdemokraterne - the Danish social democrats
950508,"[7] Venstre, Danmarks Liberale Parti - Venstre"
950516,"[7] Venstre, Danmarks Liberale Parti - Venstre"
