idno,ppltrst,happy,health,cgtsday,alcfreq,height,weight,gndr,yrbrn
941640,8,9,Very good,,Once a week,187.0,84.0,Male,1958.0
929105,5,7,Very good,,2-3 times a month,158.0,68.0,Female,1981.0
942701,6,5,Fair,,2-3 times a month,174.0,106.0,Female,1974.0
943757,7,8,,,Less than once a month,174.0,103.0,Female,1971.0
949046,7,8,Good,,,183.0,75.0,Male,1981.0
924846,8,9,Very good,,Less than once a month,168.0,68.0,Female,1972.0
925232,5,9,Very good,,Once a month,168.0,,Male,1998.0
941030,8,8,Good,,Once a week,185.0,84.0,Male,1974.0
932180,8,7,Very good,,Once a month,187.0,70.0,Male,1989.0
923060,8,9,Good,,Several times a week,174.0,76.0,Male,1940.0
947662,9,8,Very good,,2-3 times a month,182.0,65.0,Male,1968.0
939174,8,8,Very good,,Never,180.0,78.0,Male,1978.0
935659,Most people can be trusted,9,Very good,,Never,165.0,80.0,Female,1979.0
944567,7,8,Good,,Several times a week,181.0,68.0,Male,1938.0
922404,8,Extremely happy,Very good,,Once a week,177.0,63.0,Male,1999.0
934661,,9,Very good,,Several times a week,183.0,83.0,Male,1985.0
946276,7,Extremely happy,Very good,,2-3 times a month,196.0,96.0,Male,
925567,6,Extremely happy,Fair,,2-3 times a month,152.0,76.0,Female,1937.0
941129,3,6,Fair,12.0,Several times a week,177.0,72.0,Male,1993.0
930170,7,Extremely happy,Very good,9.0,Less than once a month,195.0,120.0,Male,1982.0
949703,7,9,Very good,,Once a week,186.0,89.0,Male,1969.0
939116,7,7,Very good,12.0,Once a month,169.0,113.0,Female,1981.0
946129,7,8,Very good,,Once a month,160.0,75.0,Female,1981.0
945220,8,9,Good,,Once a week,170.0,75.0,Female,1952.0
928345,6,7,Good,7.0,Several times a week,177.0,84.0,Male,1967.0
938542,9,9,Very good,,Once a month,173.0,83.0,Male,1976.0
934637,8,Extremely happy,Very good,,Every day,182.0,77.0,Male,1944.0
928727,6,Extremely happy,Very good,,2-3 times a month,187.0,68.0,Male,1998.0
936265,7,8,Good,,Less than once a month,179.0,80.0,Male,1965.0
923183,5,9,Very good,10.0,Once a month,170.0,58.0,Female,1966.0
931930,5,Extremely happy,Very good,,Several times a week,162.0,65.0,Female,1949.0
936655,,Extremely happy,Good,,Less than once a month,170.0,68.0,Female,1997.0
939491,6,8,Very good,,,181.0,73.0,Male,1998.0
934352,9,9,Very good,,2-3 times a month,182.0,70.0,Male,1985.0
937839,Most people can be trusted,Extremely happy,Very good,,Once a week,174.0,94.0,Male,1957.0
921898,8,Extremely happy,Very good,,2-3 times a month,177.0,66.0,Female,1966.0
924236,8,9,,,Several times a week,178.0,93.0,Male,1952.0
932928,6,8,Very good,,Every day,185.0,94.0,Male,1950.0
922967,8,7,Fair,,Once a week,185.0,125.0,Male,1977.0
934988,7,8,Fair,5.0,Never,176.0,68.0,Female,1969.0
949622,8,9,Very good,,2-3 times a month,167.0,95.0,Female,1955.0
927894,8,8,Very good,12.0,2-3 times a month,193.0,83.0,Male,1967.0
926377,,8,Fair,20.0,Once a week,176.0,82.0,Male,1951.0
928044,7,2,Very bad,,Every day,170.0,59.0,Male,1937.0
947905,4,9,Very good,,Several times a week,177.0,95.0,Male,
938487,5,8,Fair,,2-3 times a month,170.0,68.0,Male,1933.0
931605,1,,,,,,,Male,1936.0
950320,7,Extremely happy,Good,,Once a week,185.0,96.0,Male,1960.0
934996,8,Extremely happy,Good,,2-3 times a month,153.0,55.0,Male,1993.0
942604,7,9,Very good,,,175.0,81.0,Male,1969.0
941470,8,9,Good,1.0,Once a week,165.0,62.0,Female,1955.0
941179,3,3,Very bad,12.0,Never,165.0,89.0,Female,1952.0
925371,5,9,Fair,,,162.0,70.0,Female,1938.0
926709,3,9,Fair,,2-3 times a month,179.0,,Female,1981.0
950469,7,8,,,Several times a week,164.0,84.0,Female,1945.0
930578,7,9,Good,,Once a month,166.0,71.0,Female,1952.0
926937,7,Extremely happy,Good,,Every day,,74.0,Female,1942.0
929626,7,7,Very good,,Once a month,193.0,72.0,Male,1987.0
935104,5,Extremely happy,Very good,,Every day,172.0,84.0,Female,1960.0
926385,8,8,Very good,,Once a week,176.0,73.0,Male,1943.0
936443,7,8,Very good,7.0,,173.0,,Female,1991.0
929799,7,8,Very good,,Every day,197.0,110.0,Male,1953.0
921563,4,8,Good,8.0,,180.0,70.0,Male,1954.0
946496,1,5,Fair,,,180.0,87.0,Male,1981.0
936980,7,8,Good,,Once a month,170.0,80.0,Male,1967.0
943090,9,9,Very good,8.0,Several times a week,159.0,59.0,Female,1964.0
947890,7,,Very good,,Once a month,167.0,56.0,Female,1996.0
939051,,9,Very good,,Once a month,163.0,62.0,Female,1966.0
931118,8,7,Good,4.0,Several times a week,177.0,63.0,Female,1967.0
948422,3,,Good,,Less than once a month,166.0,65.0,Female,
938128,5,8,,,,,81.0,Male,1946.0
949517,7,8,Very good,,Less than once a month,165.0,90.0,Female,1947.0
925046,7,9,Very good,10.0,,169.0,74.0,Female,1960.0
946569,Most people can be trusted,9,Bad,,Several times a week,180.0,69.0,Female,1963.0
936663,7,7,Good,2.0,Once a week,180.0,92.0,Male,1977.0
930104,5,,Bad,20.0,Several times a week,181.0,85.0,Male,1946.0
929147,7,9,Fair,,Less than once a month,173.0,83.0,Male,1938.0
932855,3,9,Very good,,Less than once a month,160.0,50.0,Female,1999.0
938550,8,9,Fair,,Once a week,178.0,85.0,Female,1979.0
938259,9,9,Very good,,Several times a week,176.0,61.0,Female,1964.0
934611,8,Extremely happy,Good,4.0,Several times a week,166.0,88.0,Male,1970.0
947947,7,8,Fair,,Once a week,161.0,,Female,1943.0
941577,7,,Fair,,2-3 times a month,167.0,83.0,Female,1965.0
928060,8,8,Good,12.0,Never,168.0,95.0,Male,1985.0
950192,9,8,Very good,,Several times a week,185.0,92.0,Male,1990.0
928476,6,9,Very good,,2-3 times a month,180.0,79.0,Male,1964.0
936998,7,7,Good,,Never,176.0,70.0,Male,1976.0
940034,4,9,Fair,,Several times a week,185.0,104.0,Male,1942.0
935714,7,8,Bad,,Once a month,180.0,60.0,Male,1997.0
941307,8,8,Very good,,Once a week,184.0,87.0,Male,1992.0
934938,8,9,Good,,Several times a week,166.0,75.0,Female,1964.0
921327,9,9,Good,,Once a week,,97.0,Male,1940.0
946412,4,7,Good,,Once a week,189.0,67.0,,1985.0
926961,7,7,Very good,,Once a week,172.0,51.0,Female,1998.0
934881,Most people can be trusted,9,Fair,,Several times a week,166.0,76.0,Female,1951.0
948359,8,Extremely happy,Fair,,Once a week,177.0,75.0,Male,1928.0
930528,5,8,Very good,,Several times a week,178.0,72.0,Male,1978.0
949193,8,9,Good,,,186.0,82.0,Male,1993.0
942248,8,8,Very good,5.0,Once a month,179.0,66.0,Male,1969.0
949135,8,5,Good,,Several times a week,167.0,55.0,Female,1978.0
943969,8,8,Fair,,Every day,169.0,80.0,Male,1940.0
922048,9,3,Bad,0.0,Every day,165.0,70.0,,1929.0
926199,5,7,Very good,,Once a month,175.0,66.1,Female,1979.0
924325,8,9,Good,,Once a month,175.0,78.0,Male,1971.0
929749,9,8,Good,,2-3 times a month,170.0,85.0,Male,1969.0
926767,8,8,Very good,,2-3 times a month,173.0,65.0,Female,1953.0
923395,,8,Very good,,Several times a week,176.0,70.0,Female,1979.0
946072,8,9,Very good,,Several times a week,183.0,110.0,Male,1985.0
945686,8,8,Very good,,2-3 times a month,162.0,60.5,Female,1934.0
936037,8,3,Bad,,Never,187.0,,Male,1968.0
931134,7,6,Bad,,Never,159.0,75.0,Female,1936.0
946098,8,8,Good,5.0,Once a week,169.0,66.0,Female,1969.0
925761,8,9,Very good,,Less than once a month,188.0,77.0,Male,1987.0
938411,4,Extremely happy,Good,3.0,Once a month,163.0,65.0,Female,1943.0
922420,7,Extremely happy,Good,,Once a month,164.0,74.0,Female,1976.0
936134,7,9,Good,,Less than once a month,160.0,55.0,Female,1998.0
945084,8,9,Fair,,Less than once a month,180.0,80.0,Male,1943.0
948650,8,Extremely happy,Very good,,Every day,182.0,83.3,,1949.0
933071,8,Extremely happy,Fair,,Once a month,200.0,120.0,Male,1980.0
934629,4,Extremely happy,Very good,,2-3 times a month,178.0,,Male,1968.0
923476,7,Extremely happy,Very good,,Once a month,168.0,58.0,Female,1995.0
947280,3,6,Good,,2-3 times a month,183.0,82.0,Male,1981.0
944397,4,,Fair,,Never,174.0,,Female,
933445,8,7,Good,,Once a week,183.0,85.0,Male,1989.0
927462,Most people can be trusted,Extremely happy,Fair,10.0,Less than once a month,172.0,68.0,Male,1959.0
941763,6,9,Very good,,,189.0,86.0,Male,1998.0
923167,3,5,Fair,20.0,Less than once a month,184.0,120.0,Male,1971.0
941200,8,,Good,,2-3 times a month,185.0,95.0,Male,1985.0
940898,5,Extremely happy,Good,,Every day,169.0,83.0,Male,1927.0
936948,4,Extremely happy,Good,,Less than once a month,186.0,125.0,Male,1982.0
938851,5,8,Fair,10.0,2-3 times a month,168.0,52.0,,1992.0
933178,9,7,Fair,20.0,Several times a week,187.0,93.0,Male,1951.0
938110,8,,Fair,15.0,Never,167.0,52.0,Male,1946.0
934124,8,9,Very good,,Once a month,160.0,70.0,Female,1947.0
924090,9,5,Bad,,Every day,178.0,66.0,Male,1957.0
932148,8,9,Very good,,Several times a week,167.0,51.0,Female,1944.0
943367,9,9,Very good,,2-3 times a month,,75.0,Male,1993.0
940822,8,7,Good,,Every day,,73.0,Male,1944.0
946658,7,6,Very good,,Several times a week,182.0,76.0,Male,1990.0
937423,8,8,Good,,Less than once a month,180.0,76.0,Female,1964.0
934807,7,6,Fair,,Several times a week,188.0,112.0,Male,
925614,5,9,Fair,,Never,168.0,102.0,Female,1971.0
930413,5,6,Very good,,Several times a week,164.0,53.0,Female,1973.0
932481,5,8,Very good,12.0,Several times a week,180.0,75.0,Male,1985.0
922014,5,9,Fair,,2-3 times a month,161.0,50.0,Female,1991.0
929781,6,8,Good,,Less than once a month,162.0,87.0,Female,1938.0
925274,4,6,Bad,,2-3 times a month,174.0,89.0,Male,1955.0
931370,7,7,Fair,,Several times a week,162.0,84.0,Female,1939.0
941959,Most people can be trusted,6,Fair,,Every day,184.0,84.0,Male,1979.0
938932,7,7,Good,,Once a week,172.0,64.0,Female,1980.0
939629,7,7,Good,,Less than once a month,166.0,67.0,Female,1954.0
930879,7,9,Fair,,Several times a week,,82.0,Male,1965.0
927593,4,Extremely happy,Good,,Once a week,170.0,84.0,Male,
938788,4,8,Good,,Several times a week,172.0,82.0,Male,1970.0
922802,9,9,Good,,Less than once a month,164.0,64.0,Female,1990.0
943511,You can't be too careful,3,Fair,15.0,Never,,68.0,Male,1992.0
930625,7,8,,,Once a week,161.0,68.0,Female,1986.0
946797,9,8,Good,,Several times a week,186.0,75.0,Male,1991.0
939360,2,6,Good,,Once a week,172.0,59.0,Female,1991.0
942230,5,Extremely happy,Good,,Every day,184.0,87.0,Male,1947.0
925999,3,7,Very good,,Less than once a month,180.0,67.0,Male,1961.0
925313,8,9,Good,,,187.0,135.0,Male,1955.0
943464,3,8,Good,,Several times a week,181.0,77.0,,1943.0
925169,7,7,Fair,,2-3 times a month,174.0,64.0,Male,1933.0
948781,8,2,Very bad,,Never,150.0,57.0,Female,1959.0
926995,8,7,Very good,10.0,Once a week,178.0,,Male,1986.0
944062,7,8,Bad,18.0,Several times a week,172.0,90.0,Male,1962.0
948333,8,9,Fair,,Less than once a month,162.0,73.0,Male,1934.0
932643,8,Extremely happy,Very good,20.0,Less than once a month,177.0,80.0,Male,1991.0
944135,6,7,Bad,,Never,158.0,66.0,Female,1952.0
921199,9,,Fair,20.0,2-3 times a month,176.0,62.0,Female,1993.0
945212,5,5,Good,,Never,166.0,92.0,Female,1947.0
945872,7,9,Very good,,Once a month,,64.0,Female,1976.0
941755,7,9,Good,,Several times a week,167.0,75.0,Male,1954.0
944931,7,8,Very good,4.0,2-3 times a month,171.0,74.0,Male,
947028,7,8,Good,,Once a week,175.0,103.0,Male,1985.0
942395,,Extremely happy,Good,,Never,161.0,,Female,1945.0
944127,8,8,Very good,,Several times a week,164.0,,Female,1952.0
925062,6,9,Very good,,Once a month,174.0,108.0,Male,1977.0
949185,7,9,Fair,,,183.0,93.0,Male,1946.0
946373,7,9,Very good,,2-3 times a month,,60.0,Female,1971.0
939603,8,9,Good,,2-3 times a month,172.0,,Female,1963.0
948383,8,Extremely happy,Good,,Once a week,173.0,72.0,Female,1958.0
927373,8,9,Good,,Less than once a month,172.0,72.0,Male,1987.0
941983,7,Extremely happy,Fair,,Less than once a month,180.0,125.0,Male,1951.0
924244,7,8,Very good,,Several times a week,178.0,90.0,Male,1983.0
944753,4,8,,,Several times a week,175.0,77.0,,1966.0
927608,5,8,Very good,,2-3 times a month,165.0,66.0,Female,1979.0
928858,7,9,Very good,,2-3 times a month,185.0,80.0,Male,1998.0
928769,6,,Good,,Never,155.0,70.0,Female,1981.0
930845,7,,Good,,Once a month,174.0,96.0,Male,1976.0
942086,,9,Very good,15.0,Several times a week,176.0,70.0,Female,1962.0
923329,8,8,Fair,,Less than once a month,162.0,74.0,Female,1969.0
940775,7,8,,,Every day,168.0,54.0,Female,1947.0
938908,7,8,Very good,,2-3 times a month,180.0,56.0,Male,1999.0
934564,5,8,Very bad,10.0,Never,164.0,52.0,Male,1962.0
926181,5,,Very bad,,Every day,183.0,,Male,1962.0
925509,8,8,Fair,,Every day,170.0,65.0,Male,1968.0
935405,9,9,Good,,2-3 times a month,163.0,66.0,Female,1938.0
947719,,7,Fair,,Once a week,180.0,101.0,Male,1951.0
937960,8,9,Good,,Once a month,179.0,82.0,Female,1954.0
939297,7,Extremely happy,Very good,,,164.0,65.0,Female,1939.0
939093,5,8,Fair,15.0,Once a month,165.0,89.0,Female,1934.0
927111,4,4,Very bad,,Less than once a month,159.0,93.0,,1966.0
927860,Most people can be trusted,9,Very good,,Several times a week,169.0,62.0,Female,1955.0
928379,8,8,Very good,,Once a month,171.0,58.0,Female,
944606,6,Extremely happy,Very bad,,Every day,179.0,80.0,Male,1947.0
934695,7,9,Fair,,Once a week,162.0,62.0,Female,1919.0
929919,6,Extremely happy,Good,,Several times a week,173.0,66.0,Female,1940.0
924171,3,7,Very good,10.0,Once a week,161.0,65.0,Female,1995.0
929951,8,9,Very good,,Once a week,177.0,66.0,Female,1976.0
922543,,Extremely happy,Fair,,Never,,64.0,Female,1970.0
941739,9,9,,,Several times a week,184.0,62.0,Female,1984.0
947329,,7,Fair,,Once a week,177.0,65.0,Male,1952.0
929032,7,8,,,Once a week,164.0,63.0,Female,1951.0
922268,9,Extremely happy,Very good,8.0,Several times a week,170.0,85.0,Female,1971.0
942638,7,5,Good,,Once a week,169.0,57.0,Male,1978.0
944371,3,6,Fair,,2-3 times a month,188.0,105.0,Male,1982.0
925143,4,8,Fair,,2-3 times a month,168.0,66.0,Female,1956.0
941585,4,9,Good,,Less than once a month,170.0,65.0,Female,1992.0
940571,8,9,Good,,Never,177.0,67.0,Male,1955.0
929545,8,7,Good,,,188.0,66.0,Male,1985.0
946959,9,9,Very good,,Less than once a month,185.0,97.0,Male,1973.0
934700,5,Extremely happy,Good,,Several times a week,182.0,66.0,Male,1945.0
931435,8,9,Very good,,,181.0,70.0,Male,1976.0
927137,Most people can be trusted,Extremely happy,Very good,18.0,2-3 times a month,175.0,90.0,Male,1955.0
944020,7,Extremely happy,Very good,,2-3 times a month,170.0,99.0,Female,1984.0
928701,9,8,Very good,,Once a week,183.0,82.0,Male,
944729,6,Extremely happy,Good,,Once a month,163.0,60.0,Female,1980.0
933097,8,8,Good,,Once a week,172.0,77.0,,1972.0
943715,5,8,Good,,Once a month,168.0,65.0,Female,1946.0
923612,9,7,Very good,2.0,Once a month,170.0,62.0,Male,1981.0
945767,Most people can be trusted,9,Very good,6.0,Every day,168.0,54.0,Female,1954.0
936566,9,9,Good,,Once a week,164.0,62.0,,1975.0
922284,7,8,Good,6.0,Every day,176.0,77.0,Male,1947.0
928832,6,6,Good,,2-3 times a month,174.0,85.0,Male,1963.0
922103,9,8,Good,20.0,Every day,189.0,76.0,Male,1949.0
940369,8,8,Good,,Several times a week,190.0,77.0,Male,1949.0
924579,5,9,Bad,,Several times a week,165.0,66.0,,1945.0
929993,8,Extremely happy,Very good,,Once a month,184.0,73.0,Male,1997.0
922616,Most people can be trusted,9,Good,,,180.0,92.0,,1953.0
939433,,Extremely happy,Very good,,Several times a week,187.0,,Male,1948.0
933974,4,8,Good,,Less than once a month,168.0,81.0,Female,1998.0
922292,8,Extremely happy,Very good,,Once a week,169.0,65.0,Female,1968.0
943529,9,8,Very good,,2-3 times a month,,106.0,Male,1926.0
923824,9,8,Very good,,Once a week,170.0,65.0,Female,1964.0
931663,8,8,Very good,,Less than once a month,,80.0,Male,1965.0
927771,8,Extremely happy,Good,,Once a month,181.0,63.0,Female,1984.0
928298,5,Extremely happy,Fair,,Less than once a month,163.0,,Female,1952.0
947793,5,7,Fair,,Once a month,179.0,58.0,Male,1999.0
936964,8,9,,0.0,Several times a week,178.0,88.0,Male,1947.0
949494,7,7,Good,,Never,161.0,82.0,,1994.0
922771,8,8,Good,,Never,165.0,63.0,,1990.0
943058,9,8,Very good,,Several times a week,172.0,85.0,Male,1964.0
944355,7,8,Good,,Never,167.0,79.0,Female,1951.0
922535,8,9,Very good,,2-3 times a month,176.0,82.0,Male,1964.0
930219,8,Extremely happy,Good,,Once a week,179.0,83.0,Male,1962.0
941797,7,5,Bad,,,185.0,96.0,Male,1956.0
944648,9,8,Fair,,Once a month,174.0,71.0,Male,
929040,4,,Very good,15.0,Once a week,182.0,76.0,Male,1993.0
949444,9,8,Very good,,Once a month,165.0,58.0,Female,1965.0
940199,8,8,Good,,Once a week,169.0,65.0,Female,1962.0
931299,7,6,Good,15.0,Once a month,183.0,88.0,Male,1991.0
948375,,9,Very good,,Once a week,169.0,91.0,Male,1951.0
935007,9,8,Good,15.0,2-3 times a month,180.0,78.0,Male,1953.0
932570,8,Extremely happy,Good,,Several times a week,160.0,56.0,Female,1949.0
945466,Most people can be trusted,9,Very good,,Several times a week,188.0,80.0,Male,1945.0
946064,5,Extremely happy,Very good,,Every day,180.0,86.0,Male,1936.0
921131,8,8,Fair,,Several times a week,160.0,70.0,Female,1940.0
921424,7,9,Very good,,Several times a week,193.0,80.0,Male,1993.0
948896,9,8,,,Several times a week,168.0,70.0,Female,1959.0
930510,8,8,Good,,Every day,190.0,103.0,Male,1960.0
923125,5,8,Very good,0.0,2-3 times a month,178.0,91.0,Male,1987.0
927959,8,9,Good,,Every day,157.0,61.0,Female,1964.0
932130,2,9,Good,,Several times a week,178.0,77.0,Male,1971.0
923418,7,7,Good,,Less than once a month,168.0,52.0,Female,1963.0
939459,8,6,Good,,2-3 times a month,181.0,111.0,Male,1966.0
928094,4,8,Good,,Never,162.0,52.0,Female,1998.0
926929,5,2,Good,15.0,Every day,169.0,57.0,Female,1957.0
949648,6,9,,,Several times a week,195.0,110.0,Male,1980.0
943498,8,8,Good,,2-3 times a month,180.0,95.0,Male,1970.0
941420,8,Extremely happy,Fair,20.0,Once a week,159.0,53.0,Female,1945.0
948294,Most people can be trusted,Extremely happy,Very good,,Less than once a month,182.0,117.0,Female,1968.0
936485,7,7,Bad,,Once a week,184.0,98.0,Male,1963.0
923997,8,8,Very good,,Several times a week,190.0,110.0,Male,1954.0
928808,8,7,Very good,,Once a week,182.0,81.0,Male,1988.0
933021,9,8,Good,,Once a week,160.0,57.0,Female,1948.0
925038,8,7,Very good,,Several times a week,168.0,,Female,1968.0
948456,8,9,Very good,,Less than once a month,170.0,80.0,Female,1975.0
932156,3,2,Very good,,Never,173.0,,Female,1969.0
931621,8,Extremely happy,Good,,2-3 times a month,162.0,86.0,Female,1938.0
946755,Most people can be trusted,9,Good,,Once a week,180.0,115.0,Male,1977.0
925355,3,,Fair,,Less than once a month,175.0,82.0,Male,1962.0
940806,7,6,Very good,,Less than once a month,170.0,73.0,Female,1973.0
931029,5,7,Good,15.0,Less than once a month,190.0,84.0,Male,1959.0
933160,8,8,Good,,Every day,184.0,86.0,Male,1960.0
935112,3,6,Good,,Several times a week,178.0,81.0,Male,1958.0
932766,8,3,Bad,,Once a month,188.0,70.0,Male,1987.0
935235,5,9,Good,,Less than once a month,164.0,67.0,Female,1981.0
943684,6,9,Good,,Every day,172.0,68.0,Male,1929.0
922959,8,9,Good,,Once a month,185.0,84.0,Male,1998.0
935968,9,Extremely happy,Very good,,Several times a week,185.0,90.0,,1955.0
948341,7,8,Fair,,Never,177.0,68.0,,1963.0
932245,9,8,Good,,Every day,174.0,76.0,Male,1956.0
926149,Most people can be trusted,5,Very good,,Several times a week,198.0,105.0,Male,1956.0
921254,7,4,,,Once a week,185.0,70.0,Male,1977.0
921814,9,Extremely happy,Very good,,Never,196.0,90.0,Male,1972.0
929082,8,Extremely happy,Very good,,Several times a week,187.0,120.0,Male,1963.0
936281,7,7,Good,,Several times a week,,,Male,1992.0
934865,1,7,Very bad,,Never,168.0,56.0,Female,1986.0
949711,5,8,Good,,Once a month,165.0,88.0,Male,1927.0
949915,9,9,Very good,,Several times a week,176.0,86.0,Male,1944.0
940903,9,Extremely happy,Fair,,Once a month,192.0,105.0,Male,1979.0
925795,8,9,Good,2.0,Once a week,178.0,85.0,Female,1964.0
941674,7,Extremely happy,Very good,,Once a month,178.0,74.0,Male,1937.0
945953,7,9,Very good,,Once a month,185.0,64.0,Male,1999.0
932732,7,8,Fair,,,174.0,88.0,Female,1968.0
949680,8,9,Fair,,,174.0,81.0,Male,1936.0
948901,7,Extremely happy,,40.0,Every day,180.0,83.0,Male,1970.0
942044,7,8,Fair,0.0,Several times a week,186.0,71.0,Male,1997.0
945369,8,8,Good,,Less than once a month,168.0,75.0,Female,1991.0
926351,8,9,,,Once a week,170.0,60.0,Female,1973.0
947997,9,Extremely happy,Good,4.0,2-3 times a month,168.0,56.0,Female,1997.0
947989,7,8,Very good,15.0,Once a week,193.0,90.3,Male,1959.0
928646,7,6,Fair,,Once a month,161.0,70.0,,1959.0
943765,7,Extremely happy,Very good,,Several times a week,185.0,76.0,,1986.0
940652,5,9,Fair,10.0,Less than once a month,163.0,68.0,Female,1954.0
922006,7,Extremely happy,Good,20.0,Less than once a month,167.0,106.0,Female,1964.0
940856,Most people can be trusted,Extremely happy,Very good,,Once a month,167.0,69.0,Female,1961.0
941519,7,5,,,Less than once a month,170.0,115.0,Female,1957.0
941802,7,,Very good,,Several times a week,156.0,59.0,Female,1942.0
935667,9,7,Fair,20.0,Once a week,184.0,80.0,Male,1966.0
926945,7,9,Fair,,Once a week,176.0,56.0,Female,1971.0
929561,8,9,Good,,2-3 times a month,187.0,82.0,Male,1997.0
936574,9,8,Good,,Once a week,162.0,64.0,Female,1965.0
933712,9,8,Very good,,Several times a week,187.0,86.0,Male,1965.0
923777,6,9,Very good,,2-3 times a month,160.0,55.0,Female,1975.0
945814,8,8,Very good,,2-3 times a month,163.0,57.0,Female,1985.0
938720,8,,Fair,,Every day,165.0,,Female,1965.0
928248,8,9,Very good,,2-3 times a month,168.0,69.0,Female,1983.0
944876,7,8,Very good,10.0,Several times a week,175.0,74.0,Female,1950.0
934344,You can't be too careful,Extremely happy,Very good,20.0,Every day,180.0,80.0,Male,1960.0
928280,You can't be too careful,,Very bad,20.0,Never,148.0,65.0,Female,1953.0
929406,7,Extremely happy,Fair,,Once a week,168.0,75.0,Male,1945.0
949509,9,9,Good,,Several times a week,192.0,76.0,Male,1989.0
936702,8,9,Good,,,165.0,53.0,Female,1958.0
935895,7,9,Good,,Several times a week,,90.0,Female,1969.0
923191,8,Extremely happy,Very good,,2-3 times a month,170.0,60.0,Female,1953.0
940288,8,8,Very good,,Once a week,168.0,62.0,,1954.0
933908,3,8,Very good,,Several times a week,184.0,108.0,Male,1961.0
948189,7,Extremely happy,,5.0,2-3 times a month,176.0,88.0,Male,1990.0
942484,5,,Bad,20.0,Less than once a month,168.0,68.0,Male,1968.0
926513,7,9,Good,,,159.0,72.0,Female,1948.0
947971,Most people can be trusted,7,Bad,3.0,Once a week,165.0,80.0,Male,1932.0
930633,3,8,Very good,,Less than once a month,160.0,60.0,Female,1979.0
939637,9,7,Very good,,Once a month,169.0,70.0,Female,1996.0
933013,8,8,Good,,Less than once a month,191.0,97.0,Male,1972.0
927284,Most people can be trusted,8,Good,,Less than once a month,155.0,60.0,Female,1922.0
940505,8,9,Fair,,Once a week,156.0,58.0,Female,1932.0
949305,9,Extremely happy,Fair,,Less than once a month,160.0,80.0,Female,1939.0
934467,8,8,Good,,2-3 times a month,179.0,72.0,Female,1973.0
932902,,9,Fair,,Once a week,173.0,63.0,Male,1931.0
922315,,7,Very good,,Several times a week,183.0,88.0,Male,1942.0
942719,9,9,,,Once a week,179.0,68.0,Female,1981.0
940694,8,8,Good,,Several times a week,183.0,95.0,Male,1977.0
933186,5,8,Very good,,Never,162.0,58.0,Female,1968.0
947476,Most people can be trusted,9,Fair,,Less than once a month,184.0,87.0,Female,1939.0
942793,7,9,Very good,10.0,Once a week,183.0,83.0,Male,1983.0
923743,9,8,Very good,2.0,Once a week,183.0,,Male,1988.0
925185,9,9,Very good,,Once a month,167.0,54.0,Female,1974.0
924139,8,8,Good,,Once a month,174.0,79.0,Male,1951.0
929668,5,7,Fair,,2-3 times a month,178.0,,Female,
942620,3,5,Fair,40.0,Less than once a month,176.0,58.0,Female,1967.0
940945,,8,Fair,,Once a month,179.0,90.0,Male,1969.0
932546,7,8,Bad,10.0,,186.0,66.0,Male,1955.0
927399,2,7,Fair,25.0,Once a week,180.0,83.0,Male,1981.0
949274,8,,Very good,,Several times a week,168.0,72.0,Female,1974.0
935609,8,8,Good,,Less than once a month,170.0,66.0,Male,1978.0
929294,7,,Very good,,Never,178.0,67.0,Female,1970.0
931639,Most people can be trusted,8,Fair,,Once a week,178.0,67.0,Female,
927828,8,9,Very good,,2-3 times a month,164.0,63.0,Female,1972.0
927179,5,5,Good,,2-3 times a month,169.0,43.0,Female,1954.0
